country_code,country_name,flag_path,anthem_music_path,anthem_text_path,anthem_keywords
qa,Qatar,flag_images\qa.jpg,anthems_music\qa.mp3,anthems_text\qa.txt,"[('qatar', 3), ('swearing', 2), ('god', 2), ('times', 2), ('erected', 1), ('sky', 1), ('spread', 1), ('light', 1), ('always', 1), ('free', 1)]"
mm,Myanmar,flag_images\mm.jpg,anthems_music\mm.mp3,anthems_text\mm.txt,"[('end', 2), ('world', 2), ('myanmar', 2), ('since', 2), ('true', 2), ('inheritance', 2), ('forefathers', 2), ('love', 2), ('value', 2), ('land', 2)]"
dj,Djibouti,flag_images\dj.jpg,anthems_music\dj.mp3,anthems_text\dj.txt,"[('flag', 4), ('arise', 1), ('strength', 1), ('raised', 1), ('cost', 1), ('us', 1), ('dear', 1), ('extremes', 1), ('thirst', 1), ('pain', 1)]"
vn,Vietnam,flag_images\vn.jpg,anthems_music\vn.mp3,anthems_text\vn.txt,"[('let', 7), ('us', 7), ('vietnam', 4), ('forward', 4), ('together', 3), ('soldiers', 2), ('go', 2), ('long', 2), ('flag', 2), ('ceaselessly', 2)]"
cn,China (People's Republic of China),flag_images\cn.jpg,anthems_music\cn.mp3,anthems_text\cn.txt,"[('arise', 4), ('march', 4), ('one', 2), ('braving', 2), ('fire', 2), ('ye', 1), ('refuse', 1), ('slaves', 1), ('flesh', 1), ('blood', 1)]"
na,Namibia,flag_images\na.jpg,anthems_music\na.mp3,anthems_text\na.txt,"[('namibia', 5), ('land', 2), ('love', 2), ('country', 2), ('brave', 1), ('fight', 1), ('glory', 1), ('bravery', 1), ('whose', 1), ('blood', 1)]"
tg,Togo,flag_images\tg.jpg,anthems_music\tg.mp3,anthems_text\tg.txt,"[('let', 8), ('us', 8), ('thee', 4), ('togo', 4), ('hail', 3), ('thy', 3), ('thou', 2), ('made', 2), ('arise', 2), ('happiness', 2)]"
gn,Guinea,flag_images\gn.jpg,anthems_music\gn.mp3,anthems_text\gn.txt,"[('people', 4), ('africa', 4), ('brothers', 3), ('call', 3), ('guinea', 2), ('unity', 2), ('liberty', 2), ('voice', 2), ('historic', 1), ('past', 1)]"
iq,Iraq,flag_images\iq.jpg,anthems_music\iq.mp3,anthems_text\iq.txt,"[('homeland', 12), ('glory', 6), ('life', 3), ('see', 3), ('enemies', 3), ('want', 3), ('hills', 2), ('air', 2), ('safe', 2), ('comforted', 2)]"
sy,Syrian Arab Republic,flag_images\sy.jpg,anthems_music\sy.mp3,anthems_text\sy.txt,"[('sky', 3), ('defenders', 1), ('realm', 1), ('peace', 1), ('proud', 1), ('spirits', 1), ('subdued', 1), ('abode', 1), ('arabism', 1), ('hallowed', 1)]"
al,Albania,flag_images\al.jpg,anthems_music\al.mp3,anthems_text\al.txt,"[('one', 2), ('around', 1), ('flag', 1), ('united', 1), ('desire', 1), ('sacred', 1), ('oath', 1), ('proclaiming', 1), ('salvation', 1), ('aspire', 1)]"
de,Germany,flag_images\de.jpg,anthems_music\de.mp3,anthems_text\de.txt,"[('bloom', 4), ('german', 3), ('fatherland', 3), ('happiness', 3), ('unity', 2), ('right', 2), ('freedom', 2), ('splendour', 2), ('let', 1), ('us', 1)]"
lu,Luxembourg,flag_images\lu.jpg,anthems_music\lu.mp3,anthems_text\lu.txt,"[('us', 2), ('land', 2), ('homeland', 2), ('deeply', 2), ('carry', 2), ('hearts', 2), ('thou', 2), ('let', 2), ('sun', 2), ('known', 2)]"
mx,Mexico,flag_images\mx.jpg,anthems_music\mx.mp3,anthems_text\mx.txt,"[('war', 7), ('homeland', 6), ('blood', 3), ('olive', 2), ('heaven', 2), ('thunder', 2), ('sons', 2), ('mexicans', 1), ('cry', 1), ('grasp', 1)]"
bz,Belize,flag_images\bz.jpg,anthems_music\bz.mp3,anthems_text\bz.txt,"[('land', 3), ('free', 2), ('carib', 2), ('sea', 2), ('tyrants', 2), ('despots', 2), ('freedom', 2), ('back', 2), ('manhood', 1), ('pledge', 1)]"
mt,Malta,flag_images\mt.jpg,anthems_music\mt.mp3,anthems_text\mt.txt,"[('god', 2), ('give', 2), ('sweet', 1), ('land', 1), ('mother', 1), ('owe', 1), ('name', 1), ('guard', 1), ('lord', 1), ('like', 1)]"
ge,Georgia,flag_images\ge.jpg,anthems_music\ge.mp3,anthems_text\ge.txt,"[('liberty', 2), ('icon', 1), ('motherland', 1), ('whole', 1), ('world', 1), ('bright', 1), ('mounts', 1), ('valleys', 1), ('shared', 1), ('god', 1)]"
ke,Kenya,flag_images\ke.jpg,anthems_music\ke.mp3,anthems_text\ke.txt,"[('nation', 2), ('may', 2), ('let', 2), ('one', 2), ('kenya', 2), ('god', 1), ('creation', 1), ('bless', 1), ('land', 1), ('justice', 1)]"
ro,Romania,flag_images\ro.jpg,anthems_music\ro.mp3,anthems_text\ro.txt,"[('romanian', 2), ('never', 2), ('veins', 2), ('still', 2), ('name', 2), ('wake', 1), ('deadly', 1), ('sleep', 1), ('sunk', 1), ('barbaric', 1)]"
ml,Mali,flag_images\ml.jpg,anthems_music\ml.mp3,anthems_text\ml.txt,"[('mali', 6), ('let', 6), ('us', 6), ('africa', 5), ('stand', 4), ('shall', 3), ('united', 3), ('one', 3), ('happiness', 3), ('faithful', 2)]"
gt,Guatemala,flag_images\gt.jpg,anthems_music\gt.mp3,anthems_text\gt.txt,"[('never', 4), ('soil', 3), ('guatemala', 2), ('may', 2), ('fair', 2), ('flag', 2), ('flying', 2), ('freely', 2), ('wind', 2), ('call', 2)]"
id,Indonesia,flag_images\id.jpg,anthems_music\id.mp3,anthems_text\id.txt,"[('indonesia', 9), ('great', 7), ('land', 5), ('long', 4), ('live', 4), ('independent', 4), ('sovereign', 4), ('nation', 2), ('build', 2), ('country', 2)]"
tl,Timor-Leste,flag_images\tl.jpg,anthems_music\tl.mp3,anthems_text\tl.txt,"[('fatherland', 4), ('people', 4), ('east', 2), ('timor', 2), ('nation', 2), ('glory', 2), ('heroes', 2), ('liberation', 2), ('imperialism', 2), ('free', 2)]"
rw,Rwanda,flag_images\rw.jpg,anthems_music\rw.mp3,anthems_text\rw.txt,"[('us', 6), ('rwanda', 2), ('would', 2), ('filled', 2), ('beautiful', 1), ('dear', 1), ('country', 1), ('adorned', 1), ('hills', 1), ('lakes', 1)]"
hu,Hungary,flag_images\hu.jpg,anthems_music\hu.mp3,anthems_text\hu.txt,"[('upon', 4), ('nation', 3), ('sins', 3), ('homeland', 3), ('often', 3), ('lord', 2), ('extend', 2), ('toward', 2), ('guarding', 2), ('arm', 2)]"
ma,Morocco,flag_images\ma.jpg,anthems_music\ma.mp3,anthems_text\ma.txt,"[('light', 2), ('sovereignty', 2), ('safety', 2), ('call', 2), ('fountain', 1), ('freedom', 1), ('source', 1), ('meet', 1), ('may', 1), ('ever', 1)]"
th,Thailand,flag_images\th.jpg,anthems_music\th.mp3,anthems_text\th.txt,"[('thais', 3), ('thailand', 2), ('people', 2), ('thai', 2), ('blood', 2), ('every', 2), ('shall', 2), ('embraces', 1), ('bosom', 1), ('inch', 1)]"
sa,Saudi Arabia,flag_images\sa.jpg,anthems_music\sa.mp3,anthems_text\sa.txt,"[('country', 3), ('glory', 2), ('flag', 2), ('live', 2), ('hasten', 1), ('supremacy', 1), ('glorify', 1), ('creator', 1), ('heavens', 1), ('raise', 1)]"
st,Sao Tome and Principe,flag_images\st.jpg,anthems_music\st.mp3,anthems_text\st.txt,"[('total', 8), ('independence', 7), ('people', 6), ('glorious', 3), ('song', 3), ('sacred', 3), ('hymn', 3), ('combat', 3), ('national', 3), ('dynamism', 2)]"
br,Brazil,flag_images\br.jpg,anthems_music\br.mp3,anthems_text\br.txt,"[('beloved', 4), ('hail', 4), ('brazil', 4), ('strong', 3), ('homeland', 3), ('land', 3), ('sun', 2), ('freedom', 2), ('bosom', 2), ('idolized', 2)]"
